3,0.011545
4,0.0167382
5,0.0229452
6,0.031485
7,0.0399421
8,0.0526583
9,0.0658818
10,0.0796568
11,0.0920879
12,0.10965
13,0.124306
14,0.143055
15,0.160469
16,0.185558
17,0.195541
18,0.217656
19,0.261209
20,0.275357
21,0.315647
22,0.348351
23,0.521525
24,0.693579
25,0.847245
26,0.862325
27,0.961948
28,1.15676
29,1.11521
30,1.18594
31,1.2884
32,1.33621
33,1.46113
34,1.5753
35,1.60874
36,1.64632
37,1.72728
38,1.83287
39,1.87618
40,1.9969
41,2.13295
42,2.20027
43,2.22267
44,2.34927
45,2.43645
46,2.60442
47,2.81845
48,4.01441
49,4.61212
50,4.7704
51,4.65
52,5.13481
53,5.08818
54,5.08069
55,5.3935
56,5.37915
57,5.24033
58,5.73109
59,5.89691
60,6.00997
